label	C1	C2	H2
X103	22.528	21.936	0.811
X103b	21.936	22.528	0.738
X104	14.656	21.936	0.811
X104b	21.936	14.656	0.757
X105	20.503	20.637	0.815
X105b	20.637	20.503	0.474
X106	26.739	20.637	0.815
X106b	20.637	26.739	0.781
X107	22.528	20.637	0.815
X107b	20.637	22.528	0.738
X108	14.656	20.637	0.815
X108b	20.637	14.656	0.757
X109	20.609	20.637	0.815
X109b	20.637	20.609	0.53
X110	20.081	24.801	-0.085
X110b	24.801	20.081	-0.21
X111	25.333	24.801	-0.085
X111b	24.801	25.333	0.674
X112	25.353	24.801	-0.085
X112b	24.801	25.353	0.901
X113	24.612	24.801	-0.085
X113b	24.801	24.612	0.903
X114	27.191	24.801	-0.085
X114b	24.801	27.191	0.971
X115	25.452	24.801	-0.085
X115b	24.801	25.452	0.888
X116	24.348	24.801	-0.085
X116b	24.801	24.348	0.989
X117	25.639	24.801	-0.085
X117b	24.801	25.639	0.95
X118	26.739	24.801	-0.085
X118b	24.801	26.739	0.781
X119	22.528	24.801	-0.085
X119b	24.801	22.528	0.738
X120	23.547	20.081	-0.21
X120b	20.081	23.547	0.823
X121	25.333	20.081	-0.21
X121b	20.081	25.333	0.674
X122	25.353	20.081	-0.21
X122b	20.081	25.353	0.901
X123	24.612	20.081	-0.21
X123b	20.081	24.612	0.903
X124	27.191	20.081	-0.21
X124b	20.081	27.191	0.971
X125	26.739	20.081	-0.21
X125b	20.081	26.739	0.781
X126	22.528	20.081	-0.21
X126b	20.081	22.528	0.738
X127	25.333	23.547	0.823
X127b	23.547	25.333	0.674
X128	24.612	25.353	0.901
X128b	25.353	24.612	0.903
X129	27.191	25.353	0.901
X129b	25.353	27.191	0.971
X130	25.452	25.353	0.901
X130b	25.353	25.452	0.888
X131	24.348	25.353	0.901
X131b	25.353	24.348	0.989
X132	25.639	25.353	0.901
X132b	25.353	25.639	0.95
X133	26.739	25.353	0.901
X133b	25.353	26.739	0.781
X134	22.528	25.353	0.901
X134b	25.353	22.528	0.738
X135	20.674	24.612	0.903
X135b	24.612	20.674	0.759
X136	18.64	24.612	0.903
X136b	24.612	18.64	0.683
X137	27.191	24.612	0.903
X137b	24.612	27.191	0.971
X138	25.452	24.612	0.903
X138b	24.612	25.452	0.888
X139	24.348	24.612	0.903
X139b	24.612	24.348	0.989
X140	25.639	24.612	0.903
X140b	24.612	25.639	0.95
X141	24.877	24.612	0.903
X141b	24.612	24.877	0.826
X142	26.739	24.612	0.903
X142b	24.612	26.739	0.781
X143	22.528	24.612	0.903
X143b	24.612	22.528	0.738
X144	18.64	20.674	0.759
X144b	20.674	18.64	0.683
X145	22.292	20.318	0.852
X145b	20.318	22.292	0.988
X146	21.311	20.318	0.852
X146b	20.318	21.311	0.958
X147	22.218	20.318	0.852
X147b	20.318	22.218	0.857
X148	13.782	20.318	0.852
X148b	20.318	13.782	0.79
X149	21.292	20.318	0.852
X149b	20.318	21.292	0.98
X150	23.324	20.318	0.852
X150b	20.318	23.324	0.619
X151	22.218	22.292	0.988
X151b	22.292	22.218	0.857
X152	13.782	22.292	0.988
X152b	22.292	13.782	0.79
X153	22.218	21.311	0.958
X153b	21.311	22.218	0.857
X154	10.255	21.311	0.958
X154b	21.311	10.255	0.81
X155	21.292	21.311	0.958
X155b	21.311	21.292	0.98
X156	22.836	21.311	0.958
X156b	21.311	22.836	1.134
X157	25.082	21.311	0.958
X157b	21.311	25.082	0.761
X158	23.324	21.311	0.958
X158b	21.311	23.324	0.619
X159	13.782	22.218	0.857
X159b	22.218	13.782	0.79
X160	21.292	22.218	0.857
X160b	22.218	21.292	0.98
X161	22.836	22.218	0.857
X161b	22.218	22.836	1.134
X162	25.082	22.218	0.857
X162b	22.218	25.082	0.761
X163	23.324	22.218	0.857
X163b	22.218	23.324	0.619
X164	14.49	10.255	0.81
X164b	10.255	14.49	0.724
X165	21.446	14.49	0.724
