label	C1	C2	H2	intensity
X68b	24.763	14.919	0.778	3.5554e-03
X69	12.815	24.763	1.051	6.6446e-03
X69b	24.763	12.815	0.999	6.6446e-03
X70	24.066	24.763	1.051	1.1020e-03
X70b	24.763	24.066	1.105	1.1020e-03
X71	20.364	24.763	1.051	8.7377e-04
X71b	24.763	20.364	-0.085	8.7377e-04
X72	21.867	24.763	1.051	2.1352e-03
X72b	24.763	21.867	0.566	2.1352e-03
X73	22.903	26.301	0.806	1.0000e+00
X73b	26.301	22.903	0.827	1.0000e+00
X74	12.815	26.301	0.806	8.3285e-03
X74b	26.301	12.815	0.999	8.3285e-03
X75	21.867	26.301	0.806	8.7365e-04
X75b	26.301	21.867	0.566	8.7365e-04
X76	13.073	26.301	0.806	1.3705e-03
X76b	26.301	13.073	0.548	1.3705e-03
X77	12.815	22.903	0.827	2.2742e-03
X77b	22.903	12.815	0.999	2.2742e-03
X78	22.305	25.988	0.305	6.5487e-01
X78b	25.988	22.305	0.732	6.5487e-01
X79	19.976	25.988	0.305	1.4061e-03
X79b	25.988	19.976	0.673	1.4061e-03
X80	19.976	22.305	0.732	8.5990e-04
X80b	22.305	19.976	0.673	8.5990e-04
X81	19.976	24.942	1.101	8.1782e-01
X81b	24.942	19.976	0.673	8.1782e-01
X82	22.988	24.942	1.101	2.2880e-02
X82b	24.942	22.988	0.988	2.2880e-02
X83	25.785	24.942	1.101	1.9798e-03
X83b	24.942	25.785	0.745	1.9798e-03
X84	22.988	19.976	0.673	2.3385e-02
X84b	19.976	22.988	0.988	2.3385e-02
X85	25.785	19.976	0.673	2.0832e-03
X85b	19.976	25.785	0.745	2.0832e-03
X86	23.547	12.120	0.769	9.0289e-03
X86b	12.120	23.547	0.823	9.0289e-03
X87	25.333	12.120	0.769	7.1398e-03
X87b	12.120	25.333	0.674	7.1398e-03
X88	24.554	25.428	0.904	8.1542e-01
X88b	25.428	24.554	0.751	8.1542e-01
X89	24.801	25.428	0.904	1.6845e-03
X89b	25.428	24.801	-0.085	2.3224e-03
X90	20.081	25.428	0.904	8.3403e-03
X90b	25.428	20.081	-0.210	8.3403e-03
X91	25.333	25.428	0.904	4.7504e-03
X91b	25.428	25.333	0.674	4.7504e-03
