label	C1	C2	H2
X103b	20.739	27.144	0.828
X104	17.404	20.739	0.482
X104b	20.739	17.404	0.822
X105	20.204	15.439	0.541
X105b	15.439	20.204	0.634
X106	22.371	15.439	0.541
X106b	15.439	22.371	0.435
X107	17.467	15.439	0.541
X107b	15.439	17.467	0.1
X108	14.375	15.439	0.541
X108b	15.439	14.375	0.683
X109	22.576	15.439	0.541
X109b	15.439	22.576	0.071
X110	25.338	15.439	0.541
X110b	15.439	25.338	-0.53
X111	20.204	21.995	0.844
X111b	21.995	20.204	0.634
X112	25.119	21.995	0.844
X112b	21.995	25.119	0.687
X113	23.167	21.995	0.844
X113b	21.995	23.167	0.726
X114	18.691	21.995	0.844
X114b	21.995	18.691	0.67
X115	22.557	21.995	0.844
X115b	21.995	22.557	0.856
X116	25.119	20.204	0.634
X116b	20.204	25.119	0.687
X117	23.167	20.204	0.634
X117b	20.204	23.167	0.726
X118	18.691	20.204	0.634
X118b	20.204	18.691	0.67
X119	22.557	20.204	0.634
X119b	20.204	22.557	0.856
X120	23.167	25.119	0.687
X120b	25.119	23.167	0.726
X121	17.467	22.371	0.435
X121b	22.371	17.467	0.1
X122	17.404	22.371	0.435
X122b	22.371	17.404	0.822
X123	26.731	22.371	0.435
X123b	22.371	26.731	0.588
X124	14.375	22.371	0.435
X124b	22.371	14.375	0.683
X125	22.576	22.371	0.435
X125b	22.371	22.576	0.071
X126	25.338	22.371	0.435
X126b	22.371	25.338	-0.53
X127	24.389	17.467	0.1
X127b	17.467	24.389	0.789
X128	17.404	17.467	0.1
X128b	17.467	17.404	0.822
X129	22.576	17.467	0.1
X129b	17.467	22.576	0.071
X130	25.338	17.467	0.1
X130b	17.467	25.338	-0.53
X131	27.144	24.389	0.789
X131b	24.389	27.144	0.828
X132	17.404	24.389	0.789
X132b	24.389	17.404	0.822
X133	17.404	27.144	0.828
X133b	27.144	17.404	0.822
X134	22.557	18.691	0.67
X134b	18.691	22.557	0.856
X135	18.733	18.691	0.67
X135b	18.691	18.733	1.324
X136	22.489	18.691	0.67
X136b	18.691	22.489	0.466
X137	23.085	22.557	0.856
X137b	22.557	23.085	1.26
X138	18.733	22.557	0.856
X138b	22.557	18.733	1.324
X139	22.489	22.557	0.856
X139b	22.557	22.489	0.466
X140	22.64	20.952	1.065
X140b	20.952	22.64	0.88
X141	22.412	20.952	1.065
X141b	20.952	22.412	0.885
X142	23.085	20.952	1.065
X142b	20.952	23.085	1.26
X143	25.338	20.952	1.065
X143b	20.952	25.338	-0.53
X144	23.085	22.64	0.88
X144b	22.64	23.085	1.26
X145	23.085	22.412	0.885
X145b	22.412	23.085	1.26
X146	21.298	22.412	0.885
X146b	22.412	21.298	0.704
X147	18.733	22.412	0.885
X147b	22.412	18.733	1.324
X148	25.338	23.085	1.26
X148b	23.085	25.338	-0.53
X149	21.298	23.085	1.26
X149b	23.085	21.298	0.704
X150	18.733	23.085	1.26
X150b	23.085	18.733	1.324
X151	20.746	26.731	0.588
X151b	26.731	20.746	0.554
X152	19.054	26.731	0.588
X152b	26.731	19.054	1.438
X153	14.375	26.731	0.588
X153b	26.731	14.375	0.683
X154	22.576	26.731	0.588
X154b	26.731	22.576	0.071
X155	19.054	20.746	0.554
X155b	20.746	19.054	1.438
X156	14.375	20.746	0.554
X156b	20.746	14.375	0.683
X157	24.794	22.546	0.462
X157b	22.546	24.794	0.035
X158	14.375	22.546	0.462
X158b	22.546	14.375	0.683
X159	21.561	22.546	0.462
X159b	22.546	21.561	1.221
X160	14.375	24.794	0.035
X160b	24.794	14.375	0.683
X161	21.561	14.375	0.683
X161b	14.375	21.561	1.221
X162	22.576	14.375	0.683
X162b	14.375	22.576	0.071
X163	25.338	14.375	0.683
X163b	14.375	25.338	-0.53
X164	21.298	14.375	0.683
X164b	14.375	21.298	0.704
X165	25.338	22.576	0.071
X165b	22.576	25.338	-0.53
X166	21.298	22.576	0.071
X166b	22.576	21.298	0.704
X167	21.298	25.338	-0.53
X167b	25.338	21.298	0.704
X168	18.733	21.298	0.704
X168b	21.298	18.733	1.324
X169	22.489	25.303	0.327
X169b	25.303	22.489	0.466
