label	C1	C2	H2	intensity
X68b	25.330	21.890	1.270	1.5357e-03
X69	21.480	25.330	1.050	3.8899e-02
X69b	25.330	21.480	0.947	3.8899e-02
X70	20.860	25.330	1.050	2.5628e-02
X70b	25.330	20.860	0.854	2.5628e-02
X71	25.000	25.330	1.050	1.0078e-03
X71b	25.330	25.000	0.970	1.0078e-03
X72	21.890	23.920	0.990	1.2423e-03
X72b	23.920	21.890	1.270	1.2423e-03
X73	21.480	23.920	0.990	6.8077e-03
X73b	23.920	21.480	0.947	6.8077e-03
X74	20.860	23.920	0.990	2.0117e-02
X74b	23.920	20.860	0.854	2.0117e-02
X75	24.040	21.890	1.270	1.4546e-03
X75b	21.890	24.040	0.870	1.4546e-03
X76	14.480	22.050	1.100	8.5392e-04
X76b	22.050	14.480	0.734	8.5392e-04
X77	21.870	22.050	1.100	9.3875e-03
X77b	22.050	21.870	1.130	9.3875e-03
X78	21.570	22.050	1.100	7.4754e-03
X78b	22.050	21.570	0.940	7.4754e-03
X79	21.870	14.480	0.734	9.3065e-04
X79b	14.480	21.870	1.130	9.3065e-04
X80	27.170	14.480	0.734	4.5010e-02
X80b	14.480	27.170	0.710	4.5010e-02
X81	24.270	14.480	0.734	9.6476e-03
X81b	14.480	24.270	0.780	9.6476e-03
X82	15.310	14.480	0.734	8.7561e-03
X82b	14.480	15.310	0.899	8.7561e-03
X83	13.590	14.480	0.734	2.3658e-03
X83b	14.480	13.590	0.793	2.3658e-03
X84	26.170	14.480	0.734	2.3942e-03
X84b	14.480	26.170	0.740	2.3942e-03
X85	24.270	27.170	0.710	8.0361e-01
X85b	27.170	24.270	0.780	8.0361e-01
X86	22.340	27.170	0.710	5.7008e-03
X86b	27.170	22.340	0.724	5.7008e-03
X87	19.610	27.170	0.710	1.0647e-03
X87b	27.170	19.610	0.445	1.0647e-03
X88	21.560	27.170	0.710	4.2820e-03
X88b	27.170	21.560	0.705	4.2820e-03
X89	23.680	27.170	0.710	1.2676e-03
X89b	27.170	23.680	0.992	1.2676e-03
X90	15.310	27.170	0.710	7.0699e-03
X90b	27.170	15.310	0.899	7.0699e-03
X91	22.340	24.270	0.780	2.2310e-02
X91b	24.270	22.340	0.724	2.2310e-02
X92	19.610	24.270	0.780	3.7292e-03
X92b	24.270	19.610	0.445	3.7292e-03
X93	21.560	24.270	0.780	5.2273e-02
X93b	24.270	21.560	0.705	5.2273e-02
X94	23.680	24.270	0.780	7.5834e-03
X94b	24.270	23.680	0.992	7.5834e-03
X95	15.310	24.270	0.780	2.6386e-02
X95b	24.270	15.310	0.899	4.8218e-02
X96	26.550	24.270	0.780	1.7277e-03
X96b	24.270	26.550	0.780	7.8337e-01
X97	24.310	24.270	0.780	1.8262e-03
X97b	24.270	24.310	0.810	1.8262e-03
X98	26.870	24.270	0.780	1.2268e-03
X98b	24.270	26.870	0.760	1.2268e-03
X99	23.370	24.270	0.780	9.5534e-04
X99b	24.270	23.370	0.630	9.5534e-04
X100	25.010	24.270	0.780	4.3771e-03
X100b	24.270	25.010	0.710	2.8712e-02
X101	25.210	24.270	0.780	8.7333e-04
X101b	24.270	25.210	0.670	3.3108e-03
X102	19.610	22.340	0.724	8.2851e-01
X102b	22.340	19.610	0.445	8.2851e-01
X103	21.560	22.340	0.724	1.0744e-02
X103b	22.340	21.560	0.705	1.0744e-02
X104	23.680	22.340	0.724	3.5661e-02
X104b	22.340	23.680	0.992	3.5661e-02
X105	26.870	22.340	0.724	2.8605e-02
X105b	22.340	26.870	0.760	2.8605e-02
X106	23.370	22.340	0.724	4.3765e-03
X106b	22.340	23.370	0.630	4.3765e-03
X107	25.010	22.340	0.724	1.2523e-03
X107b	22.340	25.010	0.710	1.2523e-03
X108	21.560	19.610	0.445	2.3141e-03
X108b	19.610	21.560	0.705	2.3141e-03
X109	23.680	19.610	0.445	7.3121e-03
X109b	19.610	23.680	0.992	7.3121e-03
X110	26.870	19.610	0.445	1.1799e-01
X110b	19.610	26.870	0.760	1.1799e-01
X111	23.370	19.610	0.445	7.0860e-03
X111b	19.610	23.370	0.630	7.0860e-03
X112	14.380	19.610	0.445	9.0475e-04
X112b	19.610	14.380	0.419	9.0475e-04
X113	25.010	19.610	0.445	1.2624e-03
X113b	19.610	25.010	0.710	1.2624e-03
X114	9.480	22.190	1.280	1.0787e-03
X114b	22.190	9.480	0.584	1.0787e-03
X115	22.270	22.190	1.280	3.1099e-02
X115b	22.190	22.270	1.130	3.1099e-02
X116	21.560	9.480	0.584	5.0984e-03
X116b	9.480	21.560	0.705	5.0984e-03
X117	23.680	9.480	0.584	1.3478e-02
X117b	9.480	23.680	0.992	1.3478e-02
X118	26.550	9.480	0.584	8.8928e-03
X118b	9.480	26.550	0.780	8.8928e-03
X119	24.310	9.480	0.584	1.1783e-03
X119b	9.480	24.310	0.810	1.1783e-03
X120	26.030	9.480	0.584	5.1255e-02
X120b	9.480	26.030	0.530	5.1255e-02
X121	19.690	9.480	0.584	1.0416e-02
X121b	9.480	19.690	-0.150	1.0416e-02
X122	22.270	9.480	0.584	1.0520e-03
X122b	9.480	22.270	1.130	1.0520e-03
X123	26.870	9.480	0.584	5.1889e-03
X123b	9.480	26.870	0.760	5.1889e-03
X124	23.370	9.480	0.584	8.7941e-02
X124b	9.480	23.370	0.630	8.7941e-02
X125	14.380	9.480	0.584	1.0253e-02
X125b	9.480	14.380	0.419	1.0253e-02
X126	25.010	9.480	0.584	4.5041e-03
X126b	9.480	25.010	0.710	4.5041e-03
X127	25.210	9.480	0.584	1.4536e-03
X127b	9.480	25.210	0.670	1.4536e-03
X128	23.680	21.560	0.705	7.6850e-01
X128b	21.560	23.680	0.992	7.6850e-01
X129	15.310	21.560	0.705	3.4651e-02
X129b	21.560	15.310	0.899	3.4651e-02
X130	26.550	21.560	0.705	4.9669e-02
X130b	21.560	26.550	0.780	4.9669e-02
X131	24.310	21.560	0.705	5.2273e-02
X131b	21.560	24.310	0.810	9.1811e-03
X132	26.030	21.560	0.705	1.9208e-03
X132b	21.560	26.030	0.530	1.9208e-03
X133	26.870	21.560	0.705	4.8185e-03
X133b	21.560	26.870	0.760	4.8185e-03
X134	23.370	21.560	0.705	9.5575e-03
X134b	21.560	23.370	0.630	9.5575e-03
X135	14.380	21.560	0.705	9.0788e-04
X135b	21.560	14.380	0.419	9.0788e-04
X136	25.010	21.560	0.705	1.9202e-02
X136b	21.560	25.010	0.710	1.9202e-02
X137	25.210	21.560	0.705	1.6442e-03
X137b	21.560	25.210	0.670	2.5979e-03
X138	15.310	23.680	0.992	2.1397e-03
X138b	23.680	15.310	0.899	2.1397e-03
X139	26.550	23.680	0.992	6.0355e-03
X139b	23.680	26.550	0.780	6.0355e-03
X140	24.310	23.680	0.992	7.5834e-03
X140b	23.680	24.310	0.810	1.2024e-03
X141	26.030	23.680	0.992	1.4508e-03
X141b	23.680	26.030	0.530	1.4508e-03
X142	26.870	23.680	0.992	4.5386e-02
X142b	23.680	26.870	0.760	4.5386e-02
X143	23.370	23.680	0.992	6.1784e-02
X143b	23.680	23.370	0.630	6.1784e-02
X144	14.380	23.680	0.992	1.4117e-03
X144b	23.680	14.380	0.419	1.4117e-03
X145	25.010	23.680	0.992	5.5527e-03
X145b	23.680	25.010	0.710	5.5527e-03
X146	25.210	23.680	0.992	9.5619e-04
X146b	23.680	25.210	0.670	9.5619e-04
X147	13.590	15.310	0.899	2.1893e-03
X147b	15.310	13.590	0.793	2.1893e-03
X148	26.550	15.310	0.899	2.2312e-02
X148b	15.310	26.550	0.780	2.2312e-02
X149	24.310	15.310	0.899	4.8218e-02
X149b	15.310	24.310	0.810	4.8218e-02
X150	25.010	15.310	0.899	3.4617e-03
X150b	15.310	25.010	0.710	3.4617e-03
X151	23.980	15.310	0.899	1.4253e-02
X151b	15.310	23.980	0.870	1.4253e-02
X152	26.170	15.310	0.899	1.6619e-02
X152b	15.310	26.170	0.740	1.6619e-02
X153	23.980	13.590	0.793	5.7604e-03
X153b	13.590	23.980	0.870	5.7604e-03
X154	26.170	13.590	0.793	6.3217e-02
X154b	13.590	26.170	0.740	6.3217e-02
X155	25.000	13.590	0.793	1.8759e-02
X155b	13.590	25.000	0.970	1.8759e-02
X156	24.040	13.590	0.793	2.6056e-02
X156b	13.590	24.040	0.870	2.6056e-02
X157	24.310	26.550	0.780	7.8337e-01
X157b	26.550	24.310	0.810	7.8337e-01
X158	26.030	26.550	0.780	1.6351e-02
X158b	26.550	26.030	0.530	1.6351e-02
X159	19.690	26.550	0.780	1.8592e-03
X159b	26.550	19.690	-0.150	1.8592e-03
X160	23.370	26.550	0.780	2.3542e-03
X160b	26.550	23.370	0.630	2.3542e-03
X161	14.380	26.550	0.780	9.7050e-04
X161b	26.550	14.380	0.419	9.7050e-04
X162	25.010	26.550	0.780	2.5330e-02
X162b	26.550	25.010	0.710	2.5330e-02
X163	25.210	26.550	0.780	2.2816e-03
X163b	26.550	25.210	0.670	2.2816e-03
X164	23.980	26.550	0.780	6.1418e-03
X164b	26.550	23.980	0.870	6.1418e-03
X165	26.170	26.550	0.780	1.3772e-03
X165b	26.550	26.170	0.740	1.3772e-03
X166	12.860	24.310	0.810	1.0333e-03
X166b	24.310	12.860	0.690	1.0333e-03
X167	26.030	24.310	0.810	5.8354e-03
X167b	24.310	26.030	0.530	5.8354e-03
X168	19.690	24.310	0.810	9.4289e-04
