label	C1	C2	H2	intensity
X68b	10.992	23.802	0.786	4.8649e-03
X69	25.003	10.992	-0.328	1.0222e-03
X69b	10.992	25.003	1.219	1.0222e-03
X70	22.178	20.737	0.571	9.4949e-01
X70b	20.737	22.178	0.911	9.4949e-01
X71	13.862	20.737	0.571	3.4904e-02
X71b	20.737	13.862	0.679	3.4904e-02
X72	22.143	20.737	0.571	9.4949e-01
X72b	20.737	22.143	0.773	2.5164e-03
X73	23.968	20.737	0.571	1.8883e-02
X73b	20.737	23.968	0.887	1.8883e-02
X74	24.983	20.737	0.571	3.7824e-03
X74b	20.737	24.983	0.921	1.2117e-06
X75	27.578	20.737	0.571	1.6661e-03
X75b	20.737	27.578	0.819	1.6661e-03
X76	23.802	20.737	0.571	8.1287e-03
X76b	20.737	23.802	0.786	8.1287e-03
X77	13.862	22.178	0.911	3.3694e-03
X77b	22.178	13.862	0.679	4.4765e-03
X78	23.968	22.178	0.911	2.3392e-03
X78b	22.178	23.968	0.887	1.2992e-01
X79	24.983	22.178	0.911	1.1794e-03
X79b	22.178	24.983	0.921	5.2225e-06
X80	27.578	22.178	0.911	2.2814e-03
X80b	22.178	27.578	0.819	2.2814e-03
X81	23.802	22.178	0.911	2.5673e-02
X81b	22.178	23.802	0.786	2.5673e-02
X82	25.398	13.862	0.679	2.3059e-03
X82b	13.862	25.398	0.741	2.3059e-03
X83	22.143	13.862	0.679	4.4765e-03
X83b	13.862	22.143	0.773	4.4765e-03
X84	23.968	13.862	0.679	2.5087e-02
X84b	13.862	23.968	0.887	2.5087e-02
X85	24.983	13.862	0.679	2.6021e-03
X85b	13.862	24.983	0.921	1.1749e-06
X86	22.143	25.398	0.741	9.6563e-01
X86b	25.398	22.143	0.773	9.6563e-01
X87	24.112	25.398	0.741	1.5692e-03
X87b	25.398	24.112	0.955	1.5692e-03
X88	23.968	25.398	0.741	7.3021e-02
X88b	25.398	23.968	0.887	7.3021e-02
X89	24.983	25.398	0.741	1.6690e-02
X89b	25.398	24.983	0.921	4.0363e-06
X90	8.011	25.398	0.741	1.0100e-02
X90b	25.398	8.011	0.477	1.0100e-02
X91	26.815	25.398	0.741	2.0067e-02
X91b	25.398	26.815	0.862	2.0067e-02
X92	24.162	25.398	0.741	6.2906e-02
X92b	25.398	24.162	1.053	6.2906e-02
X93	24.397	25.398	0.741	3.8993e-03
X93b	25.398	24.397	1.064	3.8993e-03
X94	26.676	25.398	0.741	5.7522e-03
X94b	25.398	26.676	1.031	5.7522e-03
X95	14.531	25.398	0.741	1.8041e-02
X95b	25.398	14.531	0.792	1.8041e-02
X96	23.968	22.143	0.773	1.2992e-01
X96b	22.143	23.968	0.887	1.2992e-01
X97	24.983	22.143	0.773	1.0405e-02
X97b	22.143	24.983	0.921	5.2225e-06
X98	8.011	22.143	0.773	6.2545e-03
X98b	22.143	8.011	0.477	6.2545e-03
X99	26.815	22.143	0.773	1.6483e-03
X99b	22.143	26.815	0.862	1.6483e-03
X100	24.162	22.143	0.773	3.9317e-03
X100b	22.143	24.162	1.053	3.9317e-03
X101	24.397	22.143	0.773	9.9229e-03
X101b	22.143	24.397	1.064	9.9229e-03
X102	26.676	22.143	0.773	7.1357e-03
X102b	22.143	26.676	1.031	7.1357e-03
X103	14.531	22.143	0.773	9.5151e-03
X103b	22.143	14.531	0.792	9.5151e-03
X104	23.257	25.625	0.846	9.3160e-01
X104b	25.625	23.257	0.982	9.3160e-01
X105	26.387	24.112	0.955	9.2230e-01
X105b	24.112	26.387	0.889	9.2230e-01
X106	23.968	24.112	0.955	1.3120e-03
X106b	24.112	23.968	0.887	1.3120e-03
X107	24.983	24.112	0.955	6.8965e-03
X107b	24.112	24.983	0.921	8.8980e-07
X108	9.127	24.112	0.955	5.2414e-02
X108b	24.112	9.127	0.756	5.2414e-02
X109	8.011	24.112	0.955	4.2176e-03
X109b	24.112	8.011	0.477	4.2176e-03
X110	26.815	24.112	0.955	2.8407e-02
X110b	24.112	26.815	0.862	2.8407e-02
X111	24.162	24.112	0.955	2.1828e-03
X111b	24.112	24.162	1.053	2.1828e-03
X112	24.790	24.112	0.955	7.4775e-03
X112b	24.112	24.790	0.837	7.4775e-03
X113	9.127	26.387	0.889	9.0455e-03
X113b	26.387	9.127	0.756	9.0455e-03
X114	26.815	26.387	0.889	1.2592e-02
X114b	26.387	26.815	0.862	1.2592e-02
X115	24.162	26.387	0.889	1.1785e-03
X115b	26.387	24.162	1.053	1.1785e-03
X116	24.790	26.387	0.889	5.1576e-02
X116b	26.387	24.790	0.837	5.1576e-02
X117	22.763	26.387	0.889	3.5451e-03
X117b	26.387	22.763	0.937	3.5451e-03
X118	24.983	23.968	0.887	8.8168e-01
X118b	23.968	24.983	0.921	1.9627e-06
X119	27.578	23.968	0.887	2.7061e-03
X119b	23.968	27.578	0.819	2.7061e-03
X120	23.802	23.968	0.887	2.6080e-03
X120b	23.968	23.802	0.786	2.6080e-03
X121	8.011	23.968	0.887	1.4313e-02
X121b	23.968	8.011	0.477	1.4313e-02
X122	26.815	23.968	0.887	1.6320e-03
X122b	23.968	26.815	0.862	1.6320e-03
X123	24.162	23.968	0.887	1.3987e-03
X123b	23.968	24.162	1.053	1.3987e-03
X124	24.397	23.968	0.887	9.6855e-04
X124b	23.968	24.397	1.064	9.6855e-04
X125	26.676	23.968	0.887	1.6358e-03
X125b	23.968	26.676	1.031	1.6358e-03
X126	9.127	24.983	0.921	4.6068e-07
X126b	24.983	9.127	0.756	4.3033e-03
X127	27.578	24.983	0.921	6.6180e-07
X127b	24.983	27.578	0.819	1.6704e-02
X128	23.802	24.983	0.921	6.0789e-07
X128b	24.983	23.802	0.786	5.9331e-03
X129	8.011	24.983	0.921	2.6943e-06
X129b	24.983	8.011	0.477	1.1867e-01
X130	26.815	24.983	0.921	2.1532e-06
X130b	24.983	26.815	0.862	2.5385e-03
X131	24.162	24.983	0.921	3.9664e-06
X131b	24.983	24.162	1.053	1.1644e-03
X132	26.676	24.983	0.921	1.0012e-05
X132b	24.983	26.676	1.031	1.9424e-03
X133	27.578	9.127	0.756	4.2241e-03
X133b	9.127	27.578	0.819	4.2241e-03
X134	8.011	9.127	0.756	1.2875e-03
X134b	9.127	8.011	0.477	1.2875e-03
X135	23.802	27.578	0.819	9.1644e-01
X135b	27.578	23.802	0.786	9.1644e-01
X136	8.011	27.578	0.819	3.2833e-03
X136b	27.578	8.011	0.477	3.2833e-03
X137	27.611	23.667	1.237	9.4338e-01
X137b	23.667	27.611	1.014	9.4338e-01
X138	25.003	23.667	1.237	1.4782e-02
X138b	23.667	25.003	1.219	1.4782e-02
X139	24.947	23.667	1.237	7.1403e-03
X139b	23.667	24.947	1.154	7.1403e-03
X140	27.145	23.667	1.237	1.4968e-03
X140b	23.667	27.145	0.223	1.4968e-03
X141	12.554	23.667	1.237	2.7539e-03
X141b	23.667	12.554	-0.383	2.7539e-03
X142	26.473	23.667	1.237	2.2666e-03
X142b	23.667	26.473	0.841	2.2666e-03
X143	22.690	23.667	1.237	1.5328e-02
X143b	23.667	22.690	0.476	1.5328e-02
X144	25.003	27.611	1.014	2.9647e-02
X144b	27.611	25.003	1.219	2.9647e-02
X145	24.947	27.611	1.014	4.6537e-03
X145b	27.611	24.947	1.154	4.6537e-03
X146	12.554	27.611	1.014	1.0205e-03
X146b	27.611	12.554	-0.383	1.0205e-03
X147	26.473	27.611	1.014	8.9837e-03
X147b	27.611	26.473	0.841	8.9837e-03
X148	22.690	27.611	1.014	6.2298e-02
X148b	27.611	22.690	0.476	6.2298e-02
X149	24.947	25.003	1.219	9.0316e-01
X149b	25.003	24.947	1.154	9.0316e-01
X150	8.011	25.003	1.219	1.2019e-03
X150b	25.003	8.011	0.477	1.1867e-01
X151	22.086	25.003	1.219	1.5006e-03
X151b	25.003	22.086	0.308	1.5006e-03
X152	26.473	25.003	1.219	1.2024e-01
X152b	25.003	26.473	0.841	1.2024e-01
X153	22.690	25.003	1.219	7.7706e-02
X153b	25.003	22.690	0.476	7.7706e-02
X154	27.294	24.947	1.154	1.8645e-03
X154b	24.947	27.294	0.900	1.8645e-03
X155	22.086	24.947	1.154	1.7086e-02
X155b	24.947	22.086	0.308	1.7086e-02
X156	26.072	24.947	1.154	2.0378e-03
X156b	24.947	26.072	0.714	2.0378e-03
X157	22.385	24.947	1.154	9.7706e-04
X157b	24.947	22.385	0.092	9.7706e-04
X158	27.145	24.947	1.154	1.1930e-03
X158b	24.947	27.145	0.223	1.1930e-03
X159	26.473	24.947	1.154	1.7929e-02
X159b	24.947	26.473	0.841	1.7929e-02
X160	22.690	24.947	1.154	2.1648e-02
X160b	24.947	22.690	0.476	2.1648e-02
X161	26.815	8.011	0.477	2.8737e-03
X161b	8.011	26.815	0.862	2.8737e-03
X162	24.162	8.011	0.477	1.5700e-03
X162b	8.011	24.162	1.053	1.5700e-03
X163	24.397	8.011	0.477	3.8539e-03
X163b	8.011	24.397	1.064	3.8539e-03
X164	26.676	8.011	0.477	4.4167e-02
X164b	8.011	26.676	1.031	4.4167e-02
X165	14.531	8.011	0.477	1.4631e-03
X165b	8.011	14.531	0.792	1.4631e-03
X166	22.086	27.294	0.900	9.3083e-01
X166b	27.294	22.086	0.308	9.3083e-01
X167	26.072	27.294	0.900	1.4760e-02
X167b	27.294	26.072	0.714	1.4760e-02
X168	24.456	27.294	0.900	5.3099e-03
X168b	27.294	24.456	0.720	5.3099e-03
X169	25.171	27.294	0.900	2.1089e-02
X169b	27.294	25.171	1.310	2.1089e-02
X170	26.761	27.294	0.900	2.9281e-02
X170b	27.294	26.761	1.376	2.9281e-02
X171	26.072	22.086	0.308	3.6533e-02
X171b	22.086	26.072	0.714	3.6533e-02
X172	24.456	22.086	0.308	4.4244e-03
X172b	22.086	24.456	0.720	4.4244e-03
X173	25.171	22.086	0.308	1.3290e-02
X173b	22.086	25.171	1.310	1.3290e-02
X174	26.761	22.086	0.308	2.8679e-02
X174b	22.086	26.761	1.376	2.8679e-02
X175	22.385	22.086	0.308	3.0854e-03
X175b	22.086	22.385	0.092	3.0854e-03
X176	25.392	22.086	0.308	1.7302e-03
X176b	22.086	25.392	0.900	1.7302e-03
X177	27.145	22.086	0.308	1.3887e-03
X177b	22.086	27.145	0.223	1.3887e-03
X178	24.162	26.815	0.862	9.3976e-01
X178b	26.815	24.162	1.053	9.3976e-01
X179	24.790	26.815	0.862	2.4708e-02
X179b	26.815	24.790	0.837	2.4708e-02
X180	22.763	26.815	0.862	3.2810e-03
X180b	26.815	22.763	0.937	3.2810e-03
X181	14.531	26.815	0.862	2.5131e-03
X181b	26.815	14.531	0.792	2.5131e-03
X182	24.790	24.162	1.053	3.5699e-03
X182b	24.162	24.790	0.837	3.5699e-03
X183	22.763	24.162	1.053	1.2514e-03
X183b	24.162	22.763	0.937	1.2514e-03
X184	26.676	24.162	1.053	1.4426e-03
X184b	24.162	26.676	1.031	1.4426e-03
X185	14.531	24.162	1.053	1.9788e-02
X185b	24.162	14.531	0.792	1.9788e-02
X186	22.763	24.790	0.837	9.3375e-01
X186b	24.790	22.763	0.937	9.3375e-01
X187	21.738	25.606	0.839	1.8920e-07
X187b	25.606	21.738	0.797	9.2051e-01
X188	24.011	25.606	0.839	1.2606e-04
X188b	25.606	24.011	0.685	9.2805e-02
X189	27.145	25.606	0.839	5.2484e-07
X189b	25.606	27.145	0.223	5.1749e-03
X190	12.554	25.606	0.839	3.2750e-07
X190b	25.606	12.554	-0.383	2.9729e-03
X191	24.011	21.738	0.797	1.2566e-02
X191b	21.738	24.011	0.685	1.2566e-02
X192	27.145	21.738	0.797	1.2357e-03
X192b	21.738	27.145	0.223	1.2357e-03
X193	12.554	21.738	0.797	2.3364e-03
X193b	21.738	12.554	-0.383	2.3364e-03
X194	24.456	26.072	0.714	9.8078e-01
X194b	26.072	24.456	0.720	9.8078e-01
X195	26.761	26.072	0.714	2.2565e-03
X195b	26.072	26.761	1.376	2.2565e-03
X196	22.385	26.072	0.714	4.4846e-02
X196b	26.072	22.385	0.092	4.4846e-02
X197	25.392	26.072	0.714	5.5120e-03
X197b	26.072	25.392	0.900	1.8605e-02
X198	24.011	26.072	0.714	4.5755e-03
X198b	26.072	24.011	0.685	4.5755e-03
X199	27.145	26.072	0.714	5.8520e-02
X199b	26.072	27.145	0.223	5.8520e-02
X200	12.554	26.072	0.714	9.6908e-04
X200b	26.072	12.554	-0.383	1.7671e-03
X201	26.761	24.456	0.720	1.3104e-03
X201b	24.456	26.761	1.376	1.3104e-03
X202	22.385	24.456	0.720	1.0835e-02
X202b	24.456	22.385	0.092	1.0835e-02
X203	25.392	24.456	0.720	2.6705e-03
X203b	24.456	25.392	0.900	2.6705e-03
X204	24.011	24.456	0.720	2.5806e-03
X204b	24.456	24.011	0.685	2.5806e-03
X205	27.145	24.456	0.720	1.1105e-02
X205b	24.456	27.145	0.223	1.1105e-02
X206	26.761	25.171	1.310	9.5228e-01
X206b	25.171	26.761	1.376	9.5228e-01
X207	22.385	26.761	1.376	1.1335e-03
X207b	26.761	22.385	0.092	1.1335e-03
X208	25.392	26.761	1.376	2.2315e-03
X208b	26.761	25.392	0.900	2.2315e-03
X209	25.392	22.385	0.092	9.1086e-01
X209b	22.385	25.392	0.900	9.1086e-01
X210	24.011	22.385	0.092	2.8127e-03
X210b	22.385	24.011	0.685	2.8127e-03
X211	27.145	22.385	0.092	2.8493e-02
X211b	22.385	27.145	0.223	2.8493e-02
X212	26.033	22.385	0.092	4.4846e-02
X212b	22.385	26.033	0.838	2.3354e-02
X213	21.957	22.385	0.092	2.6585e-02
X213b	22.385	21.957	0.640	2.6585e-02
X214	12.554	22.385	0.092	2.3436e-03
X214b	22.385	12.554	-0.383	2.3436e-03
X215	22.986	22.385	0.092	1.9346e-03
X215b	22.385	22.986	0.378	1.9346e-03
X216	27.145	25.392	0.900	1.9711e-03
X216b	25.392	27.145	0.223	1.9711e-03
X217	26.033	25.392	0.900	1.8605e-02
X217b	25.392	26.033	0.838	1.8605e-02
X218	21.957	25.392	0.900	6.6257e-03
X218b	25.392	21.957	0.640	6.6257e-03
X219	27.430	25.392	0.900	2.6894e-03
X219b	25.392	27.430	0.915	2.6894e-03
X220	22.986	25.392	0.900	1.4727e-02
X220b	25.392	22.986	0.378	1.4727e-02
X221	27.145	24.011	0.685	9.3752e-01
X221b	24.011	27.145	0.223	9.3752e-01
X222	21.957	24.011	0.685	2.5462e-03
X222b	24.011	21.957	0.640	2.5462e-03
X223	12.554	24.011	0.685	5.1003e-02
X223b	24.011	12.554	-0.383	5.1003e-02
X224	26.033	27.145	0.223	5.8520e-02
X224b	27.145	26.033	0.838	1.6439e-03
X225	21.957	27.145	0.223	6.6940e-03
X225b	27.145	21.957	0.640	6.6940e-03
X226	12.554	27.145	0.223	4.4764e-02
X226b	27.145	12.554	-0.383	4.4764e-02
X227	21.957	26.033	0.838	9.7553e-01
X227b	26.033	21.957	0.640	9.7553e-01
X228	12.554	26.033	0.838	1.7671e-03
X228b	26.033	12.554	-0.383	1.7671e-03
X229	27.430	26.033	0.838	1.4309e-03
X229b	26.033	27.430	0.915	1.4309e-03
X230	22.986	26.033	0.838	1.5269e-03
X230b	26.033	22.986	0.378	1.5269e-03
X231	12.554	21.957	0.640	1.9980e-02
X231b	21.957	12.554	-0.383	1.9980e-02
X232	22.690	12.554	-0.383	2.0187e-03
X232b	12.554	22.690	0.476	2.0187e-03
X233	22.690	26.473	0.841	9.2183e-01
X233b	26.473	22.690	0.476	9.2183e-01
X234	22.986	27.430	0.915	9.4222e-01
X234b	27.430	22.986	0.378	9.4222e-01
X235	26.676	24.397	1.064	9.2873e-01
X235b	24.397	26.676	1.031	9.2873e-01
X236	14.531	24.397	1.064	4.1859e-02
X236b	24.397	14.531	0.792	4.1859e-02
X237	14.531	26.676	1.031	1.8943e-02
X237b	26.676	14.531	0.792	1.8943e-02
X238	23.627	24.839	0.923	9.7726e-01
X238b	24.839	23.627	0.919	9.7726e-01
X239	13.334	24.839	0.923	1.0493e-01
X239b	24.839	13.334	0.903	1.0493e-01
X240	25.202	24.839	0.923	3.5679e-02
X240b	24.839	25.202	0.957	3.5679e-02
X241	23.105	24.839	0.923	3.3765e-02
X241b	24.839	23.105	0.899	3.3765e-02
X242	13.334	23.627	0.919	4.8826e-03
X242b	23.627	13.334	0.903	4.8826e-03
X243	25.202	23.627	0.919	4.4404e-03
X243b	23.627	25.202	0.957	4.4404e-03
X244	23.105	23.627	0.919	1.2763e-02
X244b	23.627	23.105	0.899	1.2763e-02
X245	25.202	13.334	0.903	2.5135e-02
X245b	13.334	25.202	0.957	2.5135e-02
X246	23.105	13.334	0.903	4.3130e-03
X246b	13.334	23.105	0.899	4.3130e-03
X247	23.105	25.202	0.957	9.5991e-01
X247b	25.202	23.105	0.899	9.5991e-01
