label	C1	C2	H2
X103b	22.143	14.531	0.792
X104	23.257	25.625	0.846
X104b	25.625	23.257	0.982
X105	26.387	24.112	0.955
X105b	24.112	26.387	0.889
X106	23.968	24.112	0.955
X106b	24.112	23.968	0.887
X107	24.983	24.112	0.955
X107b	24.112	24.983	0.921
X108	9.127	24.112	0.955
X108b	24.112	9.127	0.756
X109	8.011	24.112	0.955
X109b	24.112	8.011	0.477
X110	26.815	24.112	0.955
X110b	24.112	26.815	0.862
X111	24.162	24.112	0.955
X111b	24.112	24.162	1.053
X112	24.79	24.112	0.955
X112b	24.112	24.79	0.837
X113	9.127	26.387	0.889
X113b	26.387	9.127	0.756
X114	26.815	26.387	0.889
X114b	26.387	26.815	0.862
X115	24.162	26.387	0.889
X115b	26.387	24.162	1.053
X116	24.79	26.387	0.889
X116b	26.387	24.79	0.837
X117	22.763	26.387	0.889
X117b	26.387	22.763	0.937
X118	24.983	23.968	0.887
X118b	23.968	24.983	0.921
X119	27.578	23.968	0.887
X119b	23.968	27.578	0.819
X120	23.802	23.968	0.887
X120b	23.968	23.802	0.786
X121	8.011	23.968	0.887
X121b	23.968	8.011	0.477
X122	26.815	23.968	0.887
X122b	23.968	26.815	0.862
X123	24.162	23.968	0.887
X123b	23.968	24.162	1.053
X124	24.397	23.968	0.887
X124b	23.968	24.397	1.064
X125	26.676	23.968	0.887
X125b	23.968	26.676	1.031
X126	9.127	24.983	0.921
X126b	24.983	9.127	0.756
X127	27.578	24.983	0.921
X127b	24.983	27.578	0.819
X128	23.802	24.983	0.921
X128b	24.983	23.802	0.786
X129	8.011	24.983	0.921
X129b	24.983	8.011	0.477
X130	26.815	24.983	0.921
X130b	24.983	26.815	0.862
X131	24.162	24.983	0.921
X131b	24.983	24.162	1.053
X132	26.676	24.983	0.921
X132b	24.983	26.676	1.031
X133	27.578	9.127	0.756
X133b	9.127	27.578	0.819
X134	8.011	9.127	0.756
X134b	9.127	8.011	0.477
X135	23.802	27.578	0.819
X135b	27.578	23.802	0.786
X136	8.011	27.578	0.819
X136b	27.578	8.011	0.477
X137	27.611	23.667	1.237
X137b	23.667	27.611	1.014
X138	25.003	23.667	1.237
X138b	23.667	25.003	1.219
X139	24.947	23.667	1.237
X139b	23.667	24.947	1.154
X140	27.145	23.667	1.237
X140b	23.667	27.145	0.223
X141	12.554	23.667	1.237
X141b	23.667	12.554	-0.383
X142	26.473	23.667	1.237
X142b	23.667	26.473	0.841
X143	22.69	23.667	1.237
X143b	23.667	22.69	0.476
X144	25.003	27.611	1.014
X144b	27.611	25.003	1.219
X145	24.947	27.611	1.014
X145b	27.611	24.947	1.154
X146	12.554	27.611	1.014
X146b	27.611	12.554	-0.383
X147	26.473	27.611	1.014
X147b	27.611	26.473	0.841
X148	22.69	27.611	1.014
X148b	27.611	22.69	0.476
X149	24.947	25.003	1.219
X149b	25.003	24.947	1.154
X150	8.011	25.003	1.219
X150b	25.003	8.011	0.477
X151	22.086	25.003	1.219
X151b	25.003	22.086	0.308
X152	26.473	25.003	1.219
X152b	25.003	26.473	0.841
X153	22.69	25.003	1.219
X153b	25.003	22.69	0.476
X154	27.294	24.947	1.154
X154b	24.947	27.294	0.9
X155	22.086	24.947	1.154
X155b	24.947	22.086	0.308
