label	C1	C2	H2	intensity
X139	23.436	15.806	0.566	8.92664e+08
X140	24.702	25.862	0.692	8.92086e+08
X141	23.682	23.471	0.926	8.8935e+08
X142	26.636	25.862	0.629	8.86062e+08
X143	21.713	21.397	1.020	8.85553e+08
X144	22.803	25.651	0.848	8.84799e+08
X145	23.788	24.702	0.864	8.80188e+08
X146	25.862	26.636	0.801	8.78789e+08
X147	24.526	25.229	0.003	8.75933e+08
X148	21.959	14.083	0.269	8.73117e+08
X149	21.291	20.799	0.566	8.68925e+08
X150	24.104	25.651	0.879	8.59402e+08
X151	22.662	26.671	0.394	8.49387e+08
X152	26.249	15.806	0.566	8.22865e+08
X153	19.674	18.935	0.097	8.18781e+08
X154	22.838	24.561	-0.591	8.16517e+08
X155	21.854	21.678	1.255	8.13532e+08
X156	20.799	21.291	0.895	8.05683e+08
X157	25.616	24.104	0.926	8.05676e+08
X158	22.838	19.709	0.879	8.045e+08
X159	19.603	20.377	0.973	8.03839e+08
X160	23.436	26.671	0.394	7.98833e+08
X161	22.662	25.616	0.848	7.98365e+08
X162	21.291	21.115	0.895	7.95601e+08
X163	15.841	26.249	0.520	7.88012e+08
X164	23.084	23.295	0.848	7.80279e+08
X165	20.377	19.533	0.973	7.79068e+08
X166	23.893	22.944	0.785	7.71502e+08
X167	23.506	23.295	0.848	7.69235e+08
X168	25.616	22.662	0.817	7.65279e+08
X169	20.623	20.342	0.723	7.64071e+08
X170	14.048	26.249	0.520	7.48101e+08
X171	18.935	19.709	0.097	7.47864e+08
X172	21.326	20.588	0.895	7.46196e+08
X173	19.568	19.357	1.333	7.45458e+08
X174	25.862	23.788	0.707	7.41181e+08
X175	24.983	20.588	0.285	7.37437e+08
X176	25.827	22.838	0.269	7.37137e+08
X177	26.671	15.806	0.566	7.36805e+08
X178	24.456	24.667	0.942	7.33739e+08
X179	26.671	20.799	0.582	7.26771e+08
X180	23.295	23.084	0.848	7.1483e+08
X181	25.616	22.838	0.285	7.0495e+08
X182	15.349	25.335	0.739	6.97236e+08
X183	25.264	24.526	0.879	6.95851e+08
X184	20.377	20.764	1.004	6.92391e+08
X185	18.724	18.935	1.442	6.89578e+08
X186	13.380	13.591	0.895	6.89246e+08
X187	22.944	24.561	-0.591	6.88419e+08
X188	24.491	24.280	0.739	6.85189e+08
X189	22.838	25.862	0.629	6.81155e+08
X190	13.521	13.731	0.832	6.80873e+08
X191	22.838	23.788	0.707	6.78361e+08
X192	26.284	14.083	0.269	6.78235e+08
X193	19.568	21.361	1.004	6.70759e+08
X194	20.588	24.983	-0.137	6.63555e+08
X195	23.295	23.506	0.848	6.61495e+08
X196	23.752	25.897	0.692	6.6102e+08
X197	21.186	20.940	0.739	6.607e+08
X198	23.682	23.506	0.832	6.48085e+08
X199	12.782	26.425	0.598	6.47783e+08
X200	20.904	21.361	1.020	6.44917e+08
X201	20.553	20.096	1.004	6.43078e+08
X202	22.838	21.361	0.613	6.34753e+08
X203	21.151	20.834	0.739	6.3267e+08
X204	21.361	24.702	0.864	6.30492e+08
X205	24.280	24.491	0.754	6.29267e+08
X206	13.731	13.556	0.879	6.28646e+08
X207	24.491	24.702	0.801	6.26102e+08
X208	15.279	22.873	0.707	6.24019e+08
X209	23.717	22.873	1.067	6.21359e+08
X210	25.124	24.280	0.739	6.08687e+08
X211	19.744	22.768	0.942	6.01213e+08
X212	27.726	22.276	0.707	6.00368e+08
X213	24.702	23.752	0.692	6.0015e+08
X214	22.803	24.702	0.864	5.93765e+08
X215	14.083	21.959	0.347	5.92954e+08
X216	20.553	20.166	1.004	5.88564e+08
X217	20.623	20.799	0.942	5.87514e+08
X218	20.834	26.671	0.394	5.86562e+08
X219	25.827	22.803	0.942	5.84134e+08
X220	15.841	26.671	0.394	5.81908e+08
X221	21.397	19.709	0.879	5.79935e+08
X222	19.463	19.076	0.958	5.78318e+08
X223	21.361	22.838	0.942	5.73692e+08
X224	25.651	18.865	0.535	5.73358e+08
X225	18.900	25.651	0.848	5.69702e+08
X226	15.243	22.803	0.942	5.69149e+08
