label	C1	C2	H2	intensity
X139	20.506	20.500	0.966	4.70547e+10
X140	20.612	20.856	0.860	7.0383e+09
X141	25.257	23.620	1.578	4.33597e+08
X142	25.187	19.075	1.063	3.47745e+08
X143	25.850	23.624	1.576	5.47572e+08
X144	21.420	23.788	0.712	7.70127e+08
X145	21.420	15.296	0.827	1.20636e+09
X146	21.895	19.917	1.388	5.67045e+08
X147	21.802	19.096	1.070	3.49382e+08
X148	22.978	23.864	0.877	1.1612e+09
X149	23.012	20.849	0.747	3.90178e+08
X150	22.988	14.110	0.278	7.66318e+08
X151	23.910	22.964	0.791	7.71502e+08
X152	23.771	21.812	-0.190	5.16075e+08
X153	23.761	22.900	1.070	6.21359e+08
X154	23.745	18.984	0.110	4.35479e+08
X155	23.757	19.742	0.108	4.05255e+08
X156	22.905	23.716	1.130	5.22703e+08
X157	21.090	21.455	0.928	2.80425e+09
X158	21.460	21.093	0.610	3.62188e+09
X159	20.849	22.995	0.794	3.57577e+08
X160	20.864	20.371	0.740	5.96059e+09
X161	20.381	20.861	0.749	4.9542e+09
X162	15.831	25.010	-0.117	4.50066e+08
X163	15.853	23.476	0.624	1.03575e+09
X164	15.877	26.286	0.536	7.88012e+08
X165	21.955	26.274	0.535	7.67176e+08
X166	21.982	20.832	0.586	1.28531e+09
X167	21.427	19.608	1.399	4.2315e+08
X168	21.992	14.109	0.277	8.73117e+08
X169	20.853	21.976	0.369	1.15272e+09
X170	19.615	21.396	1.019	6.70759e+08
X171	19.779	22.813	0.949	6.01213e+08
X172	22.866	22.858	0.287	3.16775e+09
X173	22.696	26.287	0.537	5.27652e+08
X174	22.866	19.733	0.892	8.045e+08
X175	20.501	19.557	1.408	4.85157e+08
X176	20.509	20.695	0.965	3.77803e+09
X177	18.932	25.675	0.859	5.69702e+08
X178	18.938	24.605	-0.577	4.03182e+08
X179	18.900	22.679	0.826	1.34893e+09
X180	22.683	18.909	0.551	1.16935e+09
X181	19.000	23.756	1.129	4.53557e+08
X182	18.984	19.724	0.106	7.47864e+08
X183	18.970	13.784	0.846	4.50171e+08
X184	19.662	21.807	-0.197	3.14955e+08
X185	19.677	25.383	0.741	3.4608e+08
X186	19.644	23.771	1.127	4.54698e+08
X187	19.725	18.981	0.112	8.18781e+08
X188	19.674	15.341	0.815	4.23802e+08
X189	20.863	18.706	1.389	3.28187e+08
X190	22.990	25.182	1.192	5.13239e+08
X191	18.264	22.040	1.276	1.16034e+09
X192	22.029	18.253	1.006	1.05469e+09
X193	19.756	23.268	1.367	4.05619e+08
X194	22.701	25.251	1.192	4.40932e+08
X195	18.683	20.880	0.861	4.88793e+08
X196	23.285	25.405	0.811	3.52386e+08
X197	19.921	21.882	1.269	5.41666e+08
X198	23.785	19.159	1.080	3.22017e+08
X199	18.197	21.737	1.721	4.05222e+08
X200	20.529	18.684	1.392	3.31315e+08
X201	22.000	21.764	1.719	5.28415e+08
X202	21.924	18.708	1.273	4.26482e+08
X203	19.175	21.828	-0.193	4.5643e+08
X204	19.142	23.747	1.128	4.64101e+08
X205	13.591	25.893	1.280	4.01722e+08
X206	13.562	26.212	1.111	3.57658e+08
X207	13.791	19.003	0.111	3.70159e+08
X208	13.772	23.589	1.583	3.30193e+08
X209	15.378	19.677	0.109	3.74685e+08
X210	14.185	24.575	-0.572	3.70141e+08
X211	14.077	23.473	0.622	4.2109e+08
X212	14.095	26.265	0.534	7.48101e+08
X213	14.218	22.994	0.792	4.38821e+08
X214	14.114	21.986	0.365	5.92954e+08
X215	15.292	23.858	0.714	3.8426e+08
X216	15.302	26.163	0.790	9.96863e+08
X217	15.312	22.262	0.581	4.93556e+08
X218	15.314	22.898	0.717	6.24019e+08
X219	15.300	27.739	0.750	9.13518e+08
X220	15.281	21.423	0.614	8.99023e+08
