label	C1	C2	H2
X186	19.644	23.771	1.127
X187	19.725	18.981	0.112
X188	19.674	15.341	0.815
X189	20.863	18.706	1.389
X190	22.990	25.182	1.192
X191	18.264	22.040	1.276
X192	22.029	18.253	1.006
X193	19.756	23.268	1.367
X194	22.701	25.251	1.192
X195	18.683	20.880	0.861
X196	23.285	25.405	0.811
X197	19.921	21.882	1.269
X198	23.785	19.159	1.080
X199	18.197	21.737	1.721
X200	20.529	18.684	1.392
X201	22.000	21.764	1.719
X202	21.924	18.708	1.273
X203	19.175	21.828	-0.193
X204	19.142	23.747	1.128
X205	13.591	25.893	1.280
X206	13.562	26.212	1.111
X207	13.791	19.003	0.111
X208	13.772	23.589	1.583
X209	15.378	19.677	0.109
X210	14.185	24.575	-0.572
X211	14.077	23.473	0.622
X212	14.095	26.265	0.534
X213	14.218	22.994	0.792
X214	14.114	21.986	0.365
X215	15.292	23.858	0.714
X216	15.302	26.163	0.790
X217	15.312	22.262	0.581
X218	15.314	22.898	0.717
X219	15.300	27.739	0.750
X220	15.281	21.423	0.614
