label	C1	C2	H2	intensity
X68b	26.720	22.134	0.704	1.2010e-03
X69	25.595	26.720	0.781	1.2386e-03
X69b	26.720	25.595	0.854	1.2386e-03
X70	13.783	26.720	0.781	5.4751e-03
X70b	26.720	13.783	0.642	5.4751e-03
X71	24.128	26.720	0.781	1.8326e-03
X71b	26.720	24.128	0.986	1.8326e-03
X72	22.798	26.720	0.781	6.9729e-03
X72b	26.720	22.798	0.951	4.7920e-05
X73	14.078	26.720	0.781	6.5451e-03
X73b	26.720	14.078	0.735	6.5451e-03
X74	13.801	21.761	0.703	5.2728e-02
X74b	21.761	13.801	0.750	1.6083e-02
X75	22.483	21.761	0.703	1.7575e-02
X75b	21.761	22.483	0.099	1.7575e-02
X76	25.387	21.761	0.703	1.7974e-02
X76b	21.761	25.387	0.256	1.7974e-02
X77	25.488	21.761	0.703	1.0431e-03
X77b	21.761	25.488	0.871	1.0431e-03
X78	22.134	21.761	0.703	5.2563e-03
X78b	21.761	22.134	0.704	5.2563e-03
X79	25.595	21.761	0.703	1.1656e-02
X79b	21.761	25.595	0.854	1.1656e-02
X80	25.227	21.761	0.703	1.0175e-03
X80b	21.761	25.227	0.843	1.0175e-03
X81	10.179	21.761	0.703	2.2095e-03
X81b	21.761	10.179	0.680	2.2095e-03
X82	13.783	21.761	0.703	5.2728e-02
X82b	21.761	13.783	0.642	5.2728e-02
X83	24.128	21.761	0.703	1.6809e-03
X83b	21.761	24.128	0.986	1.6809e-03
X84	27.750	21.761	0.703	3.5407e-03
X84b	21.761	27.750	0.830	3.5407e-03
X85	22.798	21.761	0.703	5.5992e-02
X85b	21.761	22.798	0.951	7.9137e-05
X86	14.078	21.761	0.703	3.5955e-03
X86b	21.761	14.078	0.735	3.5955e-03
X87	14.282	13.801	0.750	3.3233e-03
X87b	13.801	14.282	0.690	3.3233e-03
X88	22.134	13.801	0.750	2.1462e-03
X88b	13.801	22.134	0.704	1.0712e-02
X89	25.595	13.801	0.750	4.7835e-02
X89b	13.801	25.595	0.854	4.7835e-02
X90	25.849	13.801	0.750	6.9080e-02
X90b	13.801	25.849	0.734	6.9080e-02
X91	23.182	13.801	0.750	9.5629e-03
X91b	13.801	23.182	0.723	9.5629e-03
X92	25.227	13.801	0.750	1.3287e-02
X92b	13.801	25.227	0.843	2.8982e-02
X93	24.822	13.801	0.750	1.7997e-02
X93b	13.801	24.822	0.912	1.7997e-02
X94	10.179	13.801	0.750	7.1421e-02
X94b	13.801	10.179	0.680	7.1421e-02
X95	13.783	13.801	0.750	7.7071e-02
X95b	13.801	13.783	0.642	7.7071e-02
X96	14.668	13.801	0.750	1.9133e-03
X96b	13.801	14.668	0.682	1.9133e-03
X97	27.750	13.801	0.750	7.6420e-03
X97b	13.801	27.750	0.830	7.6420e-03
X98	22.798	13.801	0.750	2.2733e-02
X98b	13.801	22.798	0.951	1.1991e-04
X99	26.525	23.905	0.987	9.4554e-01
X99b	23.905	26.525	0.915	9.4554e-01
X100	14.282	23.905	0.987	6.5087e-03
X100b	23.905	14.282	0.690	6.5087e-03
X101	14.668	23.905	0.987	1.0949e-03
X101b	23.905	14.668	0.682	1.0949e-03
X102	21.031	23.905	0.987	4.7334e-02
X102b	23.905	21.031	0.932	4.7334e-02
X103	22.790	23.905	0.987	3.5128e-02
X103b	23.905	22.790	0.960	3.5128e-02
X104	27.750	23.905	0.987	4.2374e-02
X104b	23.905	27.750	0.830	4.2374e-02
X105	22.798	23.905	0.987	3.5128e-02
X105b	23.905	22.798	0.951	3.5128e-02
X106	14.078	23.905	0.987	7.7242e-03
X106b	23.905	14.078	0.735	7.7242e-03
X107	14.282	26.525	0.915	1.0321e-03
X107b	26.525	14.282	0.690	1.0321e-03
X108	21.031	26.525	0.915	7.1689e-03
X108b	26.525	21.031	0.932	7.1689e-03
X109	22.790	26.525	0.915	2.8077e-03
X109b	26.525	22.790	0.960	2.8077e-03
X110	27.750	26.525	0.915	8.4978e-03
X110b	26.525	27.750	0.830	8.4978e-03
X111	22.798	26.525	0.915	2.8077e-03
X111b	26.525	22.798	0.951	2.8077e-03
X112	14.078	26.525	0.915	8.6403e-02
X112b	26.525	14.078	0.735	8.6403e-02
X113	23.003	14.282	0.690	3.4412e-03
X113b	14.282	23.003	1.014	3.4119e-03
X114	22.109	14.282	0.690	1.1714e-03
X114b	14.282	22.109	0.992	1.1714e-03
X115	25.595	14.282	0.690	1.2948e-03
X115b	14.282	25.595	0.854	1.2948e-03
X116	22.973	14.282	0.690	3.4412e-03
X116b	14.282	22.973	0.952	3.4412e-03
X117	25.849	14.282	0.690	6.1129e-03
X117b	14.282	25.849	0.734	6.1129e-03
X118	23.182	14.282	0.690	5.6396e-02
X118b	14.282	23.182	0.723	5.6396e-02
X119	14.668	14.282	0.690	1.9440e-01
X119b	14.282	14.668	0.682	1.9440e-01
X120	21.031	14.282	0.690	1.1785e-03
X120b	14.282	21.031	0.932	1.1785e-03
X121	22.790	14.282	0.690	6.2672e-03
X121b	14.282	22.790	0.960	6.1239e-03
X122	27.750	14.282	0.690	8.2441e-02
X122b	14.282	27.750	0.830	8.2441e-02
X123	22.798	14.282	0.690	6.2672e-03
X123b	14.282	22.798	0.951	6.1239e-03
X124	25.319	23.003	1.014	9.8387e-01
X124b	23.003	25.319	1.037	9.8387e-01
X125	25.542	23.003	1.014	3.3360e-02
X125b	23.003	25.542	0.977	3.3360e-02
X126	22.109	23.003	1.014	3.1854e-02
X126b	23.003	22.109	0.992	3.1854e-02
X127	14.668	23.003	1.014	1.2429e-03
X127b	23.003	14.668	0.682	5.3378e-02
X128	21.031	23.003	1.014	1.6263e-03
X128b	23.003	21.031	0.932	1.6263e-03
X129	22.790	23.003	1.014	1.5734e-02
X129b	23.003	22.790	0.960	1.5734e-02
X130	25.542	25.319	1.037	1.6059e-02
X130b	25.319	25.542	0.977	1.6059e-02
X131	22.109	25.319	1.037	6.1797e-03
X131b	25.319	22.109	0.992	6.1797e-03
X132	21.031	25.319	1.037	1.1853e-03
X132b	25.319	21.031	0.932	1.1853e-03
X133	22.790	25.319	1.037	5.7257e-03
X133b	25.319	22.790	0.960	5.7257e-03
X134	22.109	25.542	0.977	9.6463e-01
X134b	25.542	22.109	0.992	9.6463e-01
X135	21.031	25.542	0.977	2.3543e-03
X135b	25.542	21.031	0.932	2.3543e-03
X136	22.790	25.542	0.977	9.7377e-03
X136b	25.542	22.790	0.960	9.7377e-03
X137	14.668	22.109	0.992	1.4769e-03
X137b	22.109	14.668	0.682	1.4769e-03
X138	21.031	22.109	0.992	1.0081e-02
X138b	22.109	21.031	0.932	1.0081e-02
X139	22.790	22.109	0.992	9.4198e-02
X139b	22.109	22.790	0.960	9.4198e-02
X140	24.216	25.759	1.042	9.8459e-01
X140b	25.759	24.216	0.990	9.8459e-01
X141	27.907	25.759	1.042	5.0471e-03
X141b	25.759	27.907	1.053	5.0471e-03
X142	27.074	25.759	1.042	5.3386e-03
X142b	25.759	27.074	0.771	5.3386e-03
X143	24.139	25.759	1.042	2.7913e-02
X143b	25.759	24.139	1.024	2.7913e-02
X144	10.068	25.759	1.042	1.2496e-03
X144b	25.759	10.068	0.250	1.2496e-03
X145	26.080	25.759	1.042	2.9822e-03
X145b	25.759	26.080	0.825	2.9822e-03
X146	22.503	25.759	1.042	1.8557e-03
X146b	25.759	22.503	0.833	1.8557e-03
X147	27.907	24.216	0.990	4.4654e-02
X147b	24.216	27.907	1.053	4.4654e-02
X148	24.855	24.216	0.990	4.5895e-03
X148b	24.216	24.855	0.740	4.5895e-03
X149	27.074	24.216	0.990	2.5077e-02
X149b	24.216	27.074	0.771	2.5077e-02
X150	24.139	24.216	0.990	3.9751e-02
X150b	24.216	24.139	1.024	3.9751e-02
X151	10.068	24.216	0.990	4.4557e-03
X151b	24.216	10.068	0.250	4.4557e-03
X152	26.080	24.216	0.990	3.2846e-03
X152b	24.216	26.080	0.825	3.2846e-03
X153	22.503	24.216	0.990	1.2151e-03
X153b	24.216	22.503	0.833	1.2151e-03
X154	24.855	27.907	1.053	9.7821e-01
X154b	27.907	24.855	0.740	9.7821e-01
X155	25.387	27.907	1.053	4.8873e-03
X155b	27.907	25.387	0.256	4.8873e-03
X156	22.679	27.907	1.053	1.9210e-02
X156b	27.907	22.679	0.881	1.9210e-02
X157	24.128	27.907	1.053	1.5409e-02
