label	C1	C2	H2
X103b	23.905	22.79	0.96
X104	27.75	23.905	0.987
X104b	23.905	27.75	0.83
X105	22.798	23.905	0.987
X105b	23.905	22.798	0.951
X106	14.078	23.905	0.987
X106b	23.905	14.078	0.735
X107	14.282	26.525	0.915
X107b	26.525	14.282	0.69
X108	21.031	26.525	0.915
X108b	26.525	21.031	0.932
X109	22.79	26.525	0.915
X109b	26.525	22.79	0.96
X110	27.75	26.525	0.915
X110b	26.525	27.75	0.83
X111	22.798	26.525	0.915
X111b	26.525	22.798	0.951
X112	14.078	26.525	0.915
X112b	26.525	14.078	0.735
X113	23.003	14.282	0.69
X113b	14.282	23.003	1.014
X114	22.109	14.282	0.69
X114b	14.282	22.109	0.992
X115	25.595	14.282	0.69
X115b	14.282	25.595	0.854
X116	22.973	14.282	0.69
X116b	14.282	22.973	0.952
X117	25.849	14.282	0.69
X117b	14.282	25.849	0.734
X118	23.182	14.282	0.69
X118b	14.282	23.182	0.723
X119	14.668	14.282	0.69
X119b	14.282	14.668	0.682
X120	21.031	14.282	0.69
X120b	14.282	21.031	0.932
X121	22.79	14.282	0.69
X121b	14.282	22.79	0.96
X122	27.75	14.282	0.69
X122b	14.282	27.75	0.83
X123	22.798	14.282	0.69
X123b	14.282	22.798	0.951
X124	25.319	23.003	1.014
X124b	23.003	25.319	1.037
X125	25.542	23.003	1.014
X125b	23.003	25.542	0.977
X126	22.109	23.003	1.014
X126b	23.003	22.109	0.992
X127	14.668	23.003	1.014
X127b	23.003	14.668	0.682
X128	21.031	23.003	1.014
X128b	23.003	21.031	0.932
X129	22.79	23.003	1.014
X129b	23.003	22.79	0.96
X130	25.542	25.319	1.037
X130b	25.319	25.542	0.977
X131	22.109	25.319	1.037
X131b	25.319	22.109	0.992
X132	21.031	25.319	1.037
X132b	25.319	21.031	0.932
X133	22.79	25.319	1.037
X133b	25.319	22.79	0.96
X134	22.109	25.542	0.977
X134b	25.542	22.109	0.992
X135	21.031	25.542	0.977
X135b	25.542	21.031	0.932
X136	22.79	25.542	0.977
X136b	25.542	22.79	0.96
X137	14.668	22.109	0.992
X137b	22.109	14.668	0.682
X138	21.031	22.109	0.992
X138b	22.109	21.031	0.932
X139	22.79	22.109	0.992
X139b	22.109	22.79	0.96
X140	24.216	25.759	1.042
X140b	25.759	24.216	0.99
X141	27.907	25.759	1.042
X141b	25.759	27.907	1.053
X142	27.074	25.759	1.042
X142b	25.759	27.074	0.771
X143	24.139	25.759	1.042
X143b	25.759	24.139	1.024
X144	10.068	25.759	1.042
X144b	25.759	10.068	0.25
X145	26.08	25.759	1.042
X145b	25.759	26.08	0.825
X146	22.503	25.759	1.042
X146b	25.759	22.503	0.833
X147	27.907	24.216	0.99
X147b	24.216	27.907	1.053
X148	24.855	24.216	0.99
X148b	24.216	24.855	0.74
X149	27.074	24.216	0.99
X149b	24.216	27.074	0.771
X150	24.139	24.216	0.99
X150b	24.216	24.139	1.024
X151	10.068	24.216	0.99
X151b	24.216	10.068	0.25
X152	26.08	24.216	0.99
X152b	24.216	26.08	0.825
X153	22.503	24.216	0.99
X153b	24.216	22.503	0.833
X154	24.855	27.907	1.053
X154b	27.907	24.855	0.74
X155	25.387	27.907	1.053
X155b	27.907	25.387	0.256
X156	22.679	27.907	1.053
X156b	27.907	22.679	0.881
X157	24.128	27.907	1.053
X157b	27.907	24.128	0.986
X158	27.074	27.907	1.053
X158b	27.907	27.074	0.771
X159	24.139	27.907	1.053
X159b	27.907	24.139	1.024
X160	22.483	24.855	0.74
X160b	24.855	22.483	0.099
X161	25.387	24.855	0.74
X161b	24.855	25.387	0.256
X162	22.679	24.855	0.74
X162b	24.855	22.679	0.881
X163	24.128	24.855	0.74
X163b	24.855	24.128	0.986
X164	27.074	24.855	0.74
X164b	24.855	27.074	0.771
X165	24.139	24.855	0.74
X165b	24.855	24.139	1.024
X166	25.387	22.483	0.099
X166b	22.483	25.387	0.256
X167	25.488	22.483	0.099
X167b	22.483	25.488	0.871
X168	22.134	22.483	0.099
X168b	22.483	22.134	0.704
X169	25.595	22.483	0.099
X169b	22.483	25.595	0.854
X170	13.783	22.483	0.099
X170b	22.483	13.783	0.642
X171	22.679	22.483	0.099
X171b	22.483	22.679	0.881
X172	24.128	22.483	0.099
X172b	22.483	24.128	0.986
X173	22.798	22.483	0.099
X173b	22.483	22.798	0.951
X174	25.488	25.387	0.256
X174b	25.387	25.488	0.871
X175	22.134	25.387	0.256
X175b	25.387	22.134	0.704
X176	25.595	25.387	0.256
X176b	25.387	25.595	0.854
X177	13.783	25.387	0.256
X177b	25.387	13.783	0.642
X178	22.679	25.387	0.256
X178b	25.387	22.679	0.881
X179	24.128	25.387	0.256
X179b	25.387	24.128	0.986
X180	22.798	25.387	0.256
X180b	25.387	22.798	0.951
X181	22.134	25.488	0.871
X181b	25.488	22.134	0.704
X182	25.595	25.488	0.871
X182b	25.488	25.595	0.854
X183	10.179	25.488	0.871
X183b	25.488	10.179	0.68
X184	13.783	25.488	0.871
X184b	25.488	13.783	0.642
X185	22.679	25.488	0.871
X185b	25.488	22.679	0.881
X186	24.128	25.488	0.871
X186b	25.488	24.128	0.986
X187	25.107	25.488	0.871
X187b	25.488	25.107	0.863
X188	23.217	25.488	0.871
X188b	25.488	23.217	0.864
X189	25.595	22.134	0.704
X189b	22.134	25.595	0.854
X190	10.179	22.134	0.704
X190b	22.134	10.179	0.68
X191	13.783	22.134	0.704
X191b	22.134	13.783	0.642
X192	22.679	22.134	0.704
X192b	22.134	22.679	0.881
X193	24.128	22.134	0.704
X193b	22.134	24.128	0.986
X194	22.798	22.134	0.704
X194b	22.134	22.798	0.951
X195	25.849	25.595	0.854
X195b	25.595	25.849	0.734
X196	23.182	25.595	0.854
X196b	25.595	23.182	0.723
X197	10.179	25.595	0.854
X197b	25.595	10.179	0.68
X198	13.783	25.595	0.854
X198b	25.595	13.783	0.642
X199	14.668	25.595	0.854
X199b	25.595	14.668	0.682
X200	27.75	25.595	0.854
X200b	25.595	27.75	0.83
X201	22.798	25.595	0.854
X201b	25.595	22.798	0.951
X202	23.543	22.973	0.952
X202b	22.973	23.543	0.627
X203	25.849	22.973	0.952
X203b	22.973	25.849	0.734
X204	23.182	22.973	0.952
X204b	22.973	23.182	0.723
X205	26.142	22.973	0.952
X205b	22.973	26.142	0.974
X206	23.376	22.973	0.952
X206b	22.973	23.376	0.94
X207	14.668	22.973	0.952
X207b	22.973	14.668	0.682
X208	23.182	23.543	0.627
X208b	23.543	23.182	0.723
X209	26.142	23.543	0.627
X209b	23.543	26.142	0.974
X210	23.376	23.543	0.627
X210b	23.543	23.376	0.94
X211	14.668	23.543	0.627
X211b	23.543	14.668	0.682
X212	23.182	25.849	0.734
X212b	25.849	23.182	0.723
X213	25.227	25.849	0.734
X213b	25.849	25.227	0.843
X214	24.822	25.849	0.734
X214b	25.849	24.822	0.912
X215	10.179	25.849	0.734
X215b	25.849	10.179	0.68
X216	13.783	25.849	0.734
X216b	25.849	13.783	0.642
X217	14.668	25.849	0.734
X217b	25.849	14.668	0.682
X218	27.75	25.849	0.734
X218b	25.849	27.75	0.83
X219	22.798	25.849	0.734
X219b	25.849	22.798	0.951
X220	24.822	23.182	0.723
X220b	23.182	24.822	0.912
X221	10.179	23.182	0.723
X221b	23.182	10.179	0.68
X222	14.668	23.182	0.723
X222b	23.182	14.668	0.682
X223	27.75	23.182	0.723
X223b	23.182	27.75	0.83
X224	22.798	23.182	0.723
X224b	23.182	22.798	0.951
X225	23.376	26.142	0.974
X225b	26.142	23.376	0.94
X226	25.227	25.54	0.816
X226b	25.54	25.227	0.843
X227	24.822	25.54	0.816
X227b	25.54	24.822	0.912
X228	24.822	25.227	0.843
X228b	25.227	24.822	0.912
X229	10.179	25.227	0.843
X229b	25.227	10.179	0.68
X230	13.783	25.227	0.843
X230b	25.227	13.783	0.642
X231	10.179	24.822	0.912
X231b	24.822	10.179	0.68
X232	13.783	24.822	0.912
X232b	24.822	13.783	0.642
X233	13.783	10.179	0.68
X233b	10.179	13.783	0.642
X234	22.798	10.179	0.68
X234b	10.179	22.798	0.951
X235	13.582	13.783	0.642
X235b	13.783	13.582	0.719
X236	24.128	13.783	0.642
X236b	13.783	24.128	0.986
X237	22.798	13.783	0.642
X237b	13.783	22.798	0.951
X238	22.705	21.164	0.981
X238b	21.164	22.705	1.14
X239	13.582	21.164	0.981
X239b	21.164	13.582	0.719
X240	25.107	21.164	0.981
X240b	21.164	25.107	0.863
X241	13.582	22.705	1.14
X241b	22.705	13.582	0.719
X242	25.107	22.705	1.14
X242b	22.705	25.107	0.863
X243	24.128	13.582	0.719
X243b	13.582	24.128	0.986
X244	27.074	13.582	0.719
X244b	13.582	27.074	0.771
X245	24.128	22.679	0.881
X245b	22.679	24.128	0.986
X246	25.107	22.679	0.881
X246b	22.679	25.107	0.863
X247	23.217	22.679	0.881
X247b	22.679	23.217	0.864
X248	27.074	22.679	0.881
X248b	22.679	27.074	0.771
X249	23.217	24.128	0.986
X249b	24.128	23.217	0.864
X250	27.074	24.128	0.986
X250b	24.128	27.074	0.771
X251	23.217	25.107	0.863
X251b	25.107	23.217	0.864
X252	24.139	27.074	0.771
X252b	27.074	24.139	1.024
X253	26.08	24.139	1.024
X253b	24.139	26.08	0.825
X254	22.79	14.668	0.682
X254b	14.668	22.79	0.96
X255	27.75	14.668	0.682
X255b	14.668	27.75	0.83
X256	22.798	14.668	0.682
X256b	14.668	22.798	0.951
X257	22.79	21.031	0.932
X257b	21.031	22.79	0.96
X258	27.75	21.031	0.932
X258b	21.031	27.75	0.83
X259	27.75	22.79	0.96
X259b	22.79	27.75	0.83
X260	22.798	27.75	0.83
X260b	27.75	22.798	0.951
X261	14.078	27.75	0.83
X261b	27.75	14.078	0.735
X262	14.078	22.798	0.951
X262b	22.798	14.078	0.735
X263	26.08	10.068	0.25
X263b	10.068	26.08	0.825
X264	22.503	10.068	0.25
X264b	10.068	22.503	0.833
X265	26.08	13.76	0.764
X265b	13.76	26.08	0.825
X266	22.503	26.08	0.825
X266b	26.08	22.503	0.833
