label	C1	C2	H2	intensity
X139	20.970	27.220	0.640	2.5956e-02
X140	27.220	20.970	0.780	2.5956e-02
X141	14.200	27.220	0.640	2.2085e-03
X142	27.220	14.200	0.770	2.2085e-03
X143	21.260	27.220	0.640	8.4197e-04
X144	27.220	21.260	0.550	8.4197e-04
X145	24.230	27.220	0.640	4.0917e-03
X146	27.220	24.230	0.860	4.0917e-03
X147	27.680	27.220	0.640	4.0105e-03
X148	27.220	27.680	1.060	4.0105e-03
X149	21.690	27.220	0.640	2.5231e-03
X150	27.220	21.690	1.010	2.5231e-03
X151	22.560	27.220	0.640	4.4392e-03
X152	27.220	22.560	0.900	4.4392e-03
X153	23.760	17.770	1.680	1.0351e-03
X154	17.770	23.760	1.270	1.0351e-03
X155	21.020	17.770	1.680	1.2757e-03
X156	17.770	21.020	0.360	1.2757e-03
X157	23.160	17.770	1.680	1.5328e-02
X158	17.770	23.160	0.970	1.5328e-02
X159	20.970	17.770	1.680	3.1410e-02
X160	17.770	20.970	0.780	3.1410e-02
X161	23.760	22.620	0.830	5.5476e-01
X162	22.620	23.760	1.270	5.5476e-01
X163	21.020	22.620	0.830	7.6346e-04
X164	22.620	21.020	0.360	7.6346e-04
X165	22.740	22.620	0.830	8.1278e-04
X166	22.620	22.740	0.790	8.1278e-04
X167	24.230	22.620	0.830	1.8921e-02
X168	22.620	24.230	0.860	1.8921e-02
X169	27.680	22.620	0.830	2.8751e-03
X170	22.620	27.680	1.060	2.8751e-03
X171	18.000	22.620	0.830	4.3555e-03
X172	22.620	18.000	1.470	4.3555e-03
X173	22.560	22.620	0.830	3.6367e-03
X174	22.620	22.560	0.900	3.6367e-03
X175	24.230	23.760	1.270	1.5495e-02
X176	23.760	24.230	0.860	1.5495e-02
X177	27.680	23.760	1.270	1.5193e-03
X178	23.760	27.680	1.060	5.0751e-02
X179	18.000	23.760	1.270	1.0137e-01
X180	23.760	18.000	1.470	1.0137e-01
X181	21.690	23.760	1.270	1.8060e-03
X182	23.760	21.690	1.010	1.8060e-03
X183	22.560	23.760	1.270	2.3664e-02
X184	23.760	22.560	0.900	2.3664e-02
X185	10.490	19.940	0.500	2.6601e-01
X186	19.940	10.490	0.590	2.6601e-01
X187	22.740	19.940	0.500	2.9193e-03
X188	19.940	22.740	0.790	2.9193e-03
X189	25.710	19.940	0.500	1.6432e-03
X190	19.940	25.710	0.960	1.6432e-03
X191	22.950	19.940	0.500	1.9889e-03
X192	19.940	22.950	0.980	1.9889e-03
X193	22.740	10.490	0.590	1.2707e-03
X194	10.490	22.740	0.790	1.2707e-03
X195	25.710	10.490	0.590	2.8625e-02
X196	10.490	25.710	0.960	2.8625e-02
X197	22.950	10.490	0.590	3.8941e-02
X198	10.490	22.950	0.980	3.8941e-02
X199	22.740	21.020	0.360	6.1384e-01
X200	21.020	22.740	0.790	6.1384e-01
X201	21.920	21.020	0.360	1.7233e-03
X202	21.020	21.920	1.250	1.7233e-03
X203	23.160	21.020	0.360	1.6554e-03
X204	21.020	23.160	0.970	1.6554e-03
X205	20.970	21.020	0.360	2.1245e-02
X206	21.020	20.970	0.780	2.1245e-02
X207	20.970	22.740	0.790	1.7464e-03
X208	22.740	20.970	0.780	1.7464e-03
X209	23.160	21.920	1.250	1.7344e-03
X210	21.920	23.160	0.970	1.7344e-03
X211	20.970	21.920	1.250	2.7247e-03
X212	21.920	20.970	0.780	2.7247e-03
X213	20.970	23.160	0.970	7.5972e-01
X214	23.160	20.970	0.780	7.5972e-01
X215	26.870	26.900	1.120	8.7019e-01
X216	26.900	26.870	1.130	8.7019e-01
X217	15.140	26.900	1.120	1.9667e-01
X218	26.900	15.140	0.440	1.9667e-01
X219	15.140	26.870	1.130	1.9667e-01
X220	26.870	15.140	0.440	1.9667e-01
X221	19.940	21.400	0.970	7.0811e-01
X222	21.400	19.940	0.860	7.0811e-01
X223	18.140	21.400	0.970	2.2066e-03
X224	21.400	18.140	0.570	2.2066e-03
X225	18.560	21.400	0.970	8.3567e-04
X226	21.400	18.560	1.350	8.3567e-04
X227	21.650	21.400	0.970	3.9262e-03
X228	21.400	21.650	1.160	3.9262e-03
X229	18.140	19.940	0.860	2.1247e-02
X230	19.940	18.140	0.570	2.1247e-02
X231	18.560	19.940	0.860	1.2998e-03
X232	19.940	18.560	1.350	1.2998e-03
X233	21.650	19.940	0.860	3.0637e-03
X234	19.940	21.650	1.160	3.0637e-03
X235	15.140	19.940	0.860	7.4398e-04
X236	19.940	15.140	0.440	7.4398e-04
X237	18.560	18.140	0.570	8.0707e-03
X238	18.140	18.560	1.350	8.0707e-03
X239	21.650	18.140	0.570	1.1601e-03
X240	18.140	21.650	1.160	1.1601e-03
X241	26.000	18.140	0.570	2.3090e-02
X242	18.140	26.000	0.650	2.3090e-02
X243	20.940	18.140	0.570	5.0066e-02
X244	18.140	20.940	0.530	5.0066e-02
X245	22.090	18.140	0.570	1.1635e-03
X246	18.140	22.090	0.510	1.1635e-03
X247	18.230	18.140	0.570	1.0087e-03
X248	18.140	18.230	1.220	1.0087e-03
X249	18.930	18.140	0.570	4.1615e-03
X250	18.140	18.930	1.300	4.1615e-03
X251	21.650	18.560	1.350	8.8643e-03
X252	18.560	21.650	1.160	8.8643e-03
X253	26.000	18.560	1.350	1.0353e-02
X254	18.560	26.000	0.650	1.0353e-02
X255	20.940	18.560	1.350	3.0826e-02
X256	18.560	20.940	0.530	3.0826e-02
X257	10.260	14.200	0.770	2.0064e-03
X258	14.200	10.260	0.670	2.0064e-03
X259	21.260	14.200	0.770	1.0677e-01
X260	14.200	21.260	0.550	1.0677e-01
